name,val,mut,min,max,type,remark
hltCorr0,0.889201542908123,0.1,0.5,2.0,float,positional halite evaluation correction
hltCorr1,4,1,1,10,int,positional halite evaluation correction
navPercent,0.5078895526269421,0.05,0.1,0.9,float,Halite potential ratio considered to be okay for navigation
colPrecent,2.669967634885765,0.4,1.0,4.0,float,Halite collection ratio as a function of potential
noProdTurn,150,5,100,350,int,The number of turn left whenwe stop producing ships
shipCapStart,950,30,500,980,int,Ship capacity when the game starts
shipCapEnd,950,30,100,980,int,Ship capacity when the game ends
